game,steps,loss,exploration,reward
1,102,,1.0,0.0
2,133,,1.0,0.0
3,70,,1.0,0.0
4,118,,1.0,0.0
5,119,,1.0,0.0
6,113,,1.0,0.0
7,87,,1.0,0.0
8,96,,1.0,0.0
9,43,,1.0,0.0
10,66,,1.0,0.0
11,96,,1.0,0.0
12,80,,1.0,0.0
13,85,,1.0,0.0
14,80,,1.0,0.0
15,107,,1.0,0.0
16,139,,1.0,0.0
17,117,,1.0,0.0
18,88,,1.0,0.0
19,86,,1.0,0.0
20,110,,1.0,0.0
21,115,,1.0,0.0
22,84,,1.0,0.0
23,100,,1.0,0.0
24,129,,1.0,0.0
25,101,,1.0,0.0
26,128,,1.0,0.0
27,107,,1.0,0.0
28,89,,1.0,0.0
29,71,,1.0,0.0
30,116,,1.0,0.0
31,94,,1.0,0.0
32,118,,1.0,0.0
33,103,,1.0,0.0
34,102,,1.0,0.0
35,89,,1.0,0.0
36,124,,1.0,0.0
37,91,,1.0,0.0
38,138,,1.0,0.0
39,82,,1.0,0.0
40,140,,1.0,0.0
41,89,,1.0,0.0
42,124,,1.0,0.0
43,101,,1.0,0.0
44,116,,1.0,0.0
45,89,,1.0,0.0
46,101,,1.0,0.0
47,134,,1.0,1.0
48,91,,1.0,0.0
49,92,,1.0,0.0
50,73,,1.0,0.0
51,80,,1.0,0.0
52,87,,1.0,0.0
53,99,,1.0,0.0
54,74,,1.0,0.0
55,99,,1.0,0.0
56,79,,1.0,0.0
57,105,,1.0,1.0
58,79,,1.0,0.0
59,98,,1.0,0.0
60,79,,1.0,0.0
61,123,,1.0,0.0
62,79,,1.0,0.0
63,108,,1.0,0.0
64,133,,1.0,0.0
65,79,,1.0,0.0
66,101,,1.0,0.0
67,103,,1.0,0.0
68,91,,1.0,0.0
69,92,,1.0,0.0
70,99,,1.0,0.0
71,114,,1.0,0.0
72,94,,1.0,0.0
73,113,,1.0,0.0
74,91,,1.0,0.0
75,121,,1.0,0.0
76,110,,1.0,0.0
77,63,,1.0,0.0
78,149,,1.0,1.0
79,76,,1.0,0.0
80,94,,1.0,0.0
81,109,,1.0,0.0
82,94,,1.0,0.0
83,117,,1.0,0.0
84,84,,1.0,0.0
85,81,,1.0,0.0
86,77,,1.0,0.0
87,97,,1.0,0.0
88,93,,1.0,0.0
89,102,,1.0,0.0
90,83,,1.0,0.0
91,75,,1.0,0.0
92,85,,1.0,0.0
93,116,,1.0,0.0
94,91,,1.0,0.0
95,92,,1.0,0.0
96,108,,1.0,0.0
97,64,,1.0,0.0
98,129,,1.0,0.0
99,86,,1.0,0.0
100,101,,1.0,0.0
101,105,,1.0,0.0
102,85,,1.0,0.0
103,113,,1.0,0.0
104,69,,1.0,0.0
105,97,,1.0,0.0
106,88,,1.0,0.0
107,111,,1.0,0.0
108,122,,1.0,0.0
109,136,,1.0,1.0
110,134,,1.0,0.0
111,95,,1.0,0.0
112,98,,1.0,0.0
113,105,,1.0,0.0
114,93,,1.0,0.0
115,97,,1.0,0.0
116,84,,1.0,0.0
117,76,,1.0,0.0
118,100,,1.0,0.0
119,115,,1.0,0.0
120,113,,1.0,0.0
121,77,,1.0,0.0
122,100,,1.0,0.0
123,129,,1.0,0.0
124,72,,1.0,0.0
125,111,,1.0,0.0
126,93,,1.0,0.0
127,86,,1.0,0.0
128,81,,1.0,0.0
129,81,,1.0,0.0
130,129,,1.0,0.0
131,106,,1.0,0.0
132,76,,1.0,0.0
133,91,,1.0,0.0
134,104,,1.0,0.0
135,104,,1.0,0.0
136,115,,1.0,0.0
137,80,,1.0,0.0
138,96,,1.0,0.0
139,114,,1.0,0.0
140,111,,1.0,0.0
141,83,,1.0,0.0
142,86,,1.0,0.0
143,75,,1.0,0.0
144,103,,1.0,0.0
145,78,,1.0,0.0
146,112,,1.0,0.0
147,89,,1.0,0.0
148,79,,1.0,0.0
149,87,,1.0,0.0
150,111,,1.0,0.0
151,77,,1.0,0.0
152,93,,1.0,0.0
153,99,,1.0,0.0
154,98,,1.0,0.0
155,116,,1.0,0.0
156,91,,1.0,0.0
157,112,,1.0,0.0
158,81,,1.0,0.0
159,100,,1.0,0.0
160,99,,1.0,0.0
161,64,,1.0,0.0
162,82,,1.0,0.0
163,94,,1.0,0.0
164,121,,1.0,0.0
165,67,,1.0,0.0
166,107,,1.0,0.0
167,147,,1.0,0.0
168,106,,1.0,0.0
169,87,,1.0,0.0
170,93,,1.0,0.0
171,106,,1.0,0.0
172,74,,1.0,0.0
173,102,,1.0,0.0
174,107,,1.0,0.0
175,75,,1.0,0.0
